comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4584,0.31980802792321117,0.8544938917975567,1286,180,2631,487,2811,-2451,0.0,chi2_cc,0.0
condition=expert,1528,0.32002617801047123,0.8808900523560209,429,60,917,122,977,-857,4.041265107085165e-165,chi2_cc,1.2123795321255495e-164
condition=naive_calm,1528,0.32460732984293195,0.849476439790576,443,53,855,177,908,-802,1.0927895506988027e-155,chi2_cc,2.6226949216771263e-155
condition=naive_distressed,1528,0.3147905759162304,0.8331151832460733,414,67,859,188,926,-792,5.808598727967709e-149,chi2_cc,1.1617197455935417e-148
task=diversity_2,906,0.03532008830022075,0.9823399558498896,32,0,858,16,858,-858,3.6050032795203823e-188,chi2_cc,2.1630019677122294e-187
task=diversity_6,870,0.017241379310344827,0.9942528735632183,15,0,850,5,850,-850,1.9774950356123638e-186,chi2_cc,7.909980142449455e-186
task=hearsay,297,0.1447811447811448,0.8383838383838383,38,5,211,43,216,-206,3.2136713343395967e-44,chi2_cc,5.50915085886788e-44
task=international_citizenship_questions,924,0.7023809523809523,0.7456709956709957,551,98,138,137,236,-40,0.011127034993059394,chi2_cc,0.011127034993059394
task=nys_judicial_ethics,882,0.5929705215419501,0.7278911564625851,452,71,190,169,261,-119,2.7930182469067653e-13,chi2_cc,3.046928996625562e-13
task=personal_jurisdiction,165,0.23636363636363636,0.9151515151515152,36,3,115,11,118,-112,1.6406260060656973e-24,chi2_cc,2.1875013414209297e-24
task=proa,288,0.1284722222222222,0.7326388888888888,36,1,175,76,176,-174,7.211038352384261e-39,chi2_cc,1.0816557528576392e-38
task=telemarketing_sales_rule,252,0.5079365079365079,0.873015873015873,126,2,94,30,96,-92,1.5773436061567355e-20,chi2_cc,1.8928123273880827e-20
