comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4584,0.8544938917975567,0.8296247818499127,3499,418,304,363,722,114,2.6059252599530996e-05,chi2_cc,0.000104237010398124
condition=expert,1528,0.8808900523560209,0.8547120418848168,1213,133,93,89,226,40,0.009479989646871781,chi2_cc,0.020194629295014456
condition=naive_calm,1528,0.849476439790576,0.819371727748691,1156,142,96,134,238,46,0.00353510105885927,chi2_cc,0.01060530317657781
condition=naive_distressed,1528,0.8331151832460733,0.8147905759162304,1130,143,115,140,258,28,0.09277329176249541,chi2_cc,0.13915993764374313
task=diversity_2,906,0.9823399558498896,0.9635761589403974,860,30,13,3,43,17,0.014688191945847758,chi2_cc,0.0251797576214533
task=diversity_6,870,0.9942528735632183,0.9413793103448276,814,51,5,0,56,46,1.8169674900922536e-09,chi2_cc,2.1803609881107044e-08
task=hearsay,297,0.8383838383838383,0.6767676767676768,179,70,22,26,92,48,9.579338276193555e-07,chi2_cc,5.747602965716134e-06
task=international_citizenship_questions,924,0.7456709956709957,0.7229437229437229,578,111,90,145,201,21,0.15833567752137875,chi2_cc,0.1900028130256545
task=nys_judicial_ethics,882,0.7278911564625851,0.7494331065759637,553,89,108,132,197,-19,0.19968592093575852,chi2_cc,0.21783918647537293
task=personal_jurisdiction,165,0.9151515151515152,0.9151515151515152,139,12,12,2,24,0,1.0,exact,1.0
task=proa,288,0.7326388888888888,0.7847222222222222,181,30,45,32,75,-15,0.1059688091272023,chi2_cc,0.1412917455029364
task=telemarketing_sales_rule,252,0.873015873015873,0.8095238095238095,195,25,9,23,34,16,0.010097314647507228,chi2_cc,0.020194629295014456
