model_a,model_b,comparison,n_paired,acc_a,acc_b,a,b,c,d,net_flips,pvalue,method,pvalue_fdr_bh
GPT-5.4,DeepSeek,overall,4368,0.8367673992673993,0.7586996336996337,2975,680,339,374,341,1.7243646164764132e-26,chi2_cc,6.897458465905653e-26
GPT-5.4,DeepSeek,condition=expert,1456,0.8262362637362637,0.7678571428571429,996,207,122,131,85,3.637810064866315e-06,chi2_cc,3.637810064866315e-06
GPT-5.4,DeepSeek,condition=naive_calm,1456,0.8372252747252747,0.739010989010989,957,262,119,118,143,3.4672755663547574e-13,chi2_cc,6.934551132709515e-13
GPT-5.4,DeepSeek,condition=naive_distressed,1456,0.8468406593406593,0.7692307692307693,1022,211,98,125,113,1.8724031735150134e-10,chi2_cc,2.4965375646866847e-10
GPT-5.4,Claude Sonnet 4.6,overall,4368,0.8367673992673993,0.8280677655677655,3297,358,320,393,38,0.155323608982647,chi2_cc,0.155323608982647
GPT-5.4,Claude Sonnet 4.6,condition=expert,1456,0.8262362637362637,0.8537087912087912,1120,83,123,130,-40,0.006582512312133198,chi2_cc,0.013165024624266396
GPT-5.4,Claude Sonnet 4.6,condition=naive_calm,1456,0.8372252747252747,0.8159340659340659,1085,134,103,134,31,0.051330137700319,chi2_cc,0.06844018360042534
GPT-5.4,Claude Sonnet 4.6,condition=naive_distressed,1456,0.8468406593406593,0.8145604395604396,1092,141,94,129,47,0.0026935171781133577,chi2_cc,0.01077406871245343
DeepSeek,Claude Sonnet 4.6,overall,4368,0.7586996336996337,0.8280677655677655,3015,299,602,452,-303,8.209383214178872e-24,chi2_cc,3.283753285671549e-23
DeepSeek,Claude Sonnet 4.6,condition=expert,1456,0.7678571428571429,0.8537087912087912,1050,68,193,145,-125,1.648938511199598e-14,chi2_cc,3.297877022399196e-14
DeepSeek,Claude Sonnet 4.6,condition=naive_calm,1456,0.739010989010989,0.8159340659340659,962,114,226,154,-112,1.7461091425213532e-09,chi2_cc,2.3281455233618043e-09
DeepSeek,Claude Sonnet 4.6,condition=naive_distressed,1456,0.7692307692307693,0.8145604395604396,1003,117,183,153,-66,0.00017488659254209318,chi2_cc,0.00017488659254209318
