comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4584,0.8368237347294939,0.8544938917975567,3496,340,421,327,761,-81,0.003731653573237608,chi2_cc,0.007463307146475216
condition=expert,1528,0.8285340314136126,0.8808900523560209,1174,92,172,90,264,-80,1.161387629522496e-06,chi2_cc,4.645550518089984e-06
condition=naive_calm,1528,0.8357329842931938,0.849476439790576,1165,112,133,118,245,-21,0.20133648528740072,chi2_cc,0.26844864704986765
condition=naive_distressed,1528,0.8462041884816754,0.8331151832460733,1157,136,116,119,252,20,0.23135040777413818,chi2_cc,0.2776204893289658
task=diversity_2,906,0.9448123620309051,0.9823399558498896,844,12,46,4,58,-34,1.4701607930829438e-05,chi2_cc,4.4104823792488316e-05
task=diversity_6,870,0.9045977011494253,0.9942528735632183,782,5,83,0,88,-78,2.244774355229271e-16,chi2_cc,2.693729226275125e-15
task=hearsay,297,0.7373737373737373,0.8383838383838383,202,17,47,31,64,-30,0.00028896145176247174,chi2_cc,0.0006935074842299322
task=international_citizenship_questions,924,0.7305194805194806,0.7456709956709957,587,88,102,147,190,-14,0.3456199743319957,chi2_cc,0.359283447265625
task=nys_judicial_ethics,882,0.7698412698412699,0.7278911564625851,545,134,97,106,231,37,0.017854292789383004,chi2_cc,0.03060735906751372
task=personal_jurisdiction,165,0.9454545454545454,0.9151515151515152,144,12,7,2,19,5,0.359283447265625,exact,0.359283447265625
task=proa,288,0.8993055555555556,0.7326388888888888,200,59,11,18,70,48,1.9365672363947483e-08,chi2_cc,1.161940341836849e-07
task=telemarketing_sales_rule,252,0.8134920634920635,0.873015873015873,192,13,28,19,41,-15,0.028783965875738386,chi2_cc,0.043175948813607576
