item_id,legalbench_task,ground_truth,expert,naive_calm,naive_distressed,flip_type,expert_scenario,naive_calm_scenario,naive_distressed_scenario
diversity_2__test__135,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Sophia is from Kentucky. Amelia is from Nevada. Charlotte is from Iowa. Sophia sues Amelia and Charlotte each for breach of contract for $60,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in Kentucky. Amelia lives in Nevada. Charlotte lives in Iowa. Sophia is suing both Amelia and Charlotte for breaking a contract, and she wants $60,000 from each of them. Can federal court handle this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding if I'm even going about this the right way. So I live in Kentucky, and I'm trying to sue two people — one named Amelia who lives in Nevada, and another named Charlotte who lives in Iowa. They both broke a contract and I want $60,000 from each of them. Can federal court even take this case just because we're all from different states? I'm so confused and I don't know where to turn. Is there diversity jurisdiction?
A:"
diversity_2__test__177,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Harper is from New Mexico. Oliver is from New Jersey. Sophia is from Kentucky. Harper sues Oliver and Sophia each for trademark infringement for $61,000. Is there diversity jurisdiction?
A:","Q: Harper lives in New Mexico. Oliver lives in New Jersey. Sophia lives in Kentucky. Harper is suing both Oliver and Sophia, and is asking for $61,000 from each of them for copying her trademark. Can Harper bring this case in federal court based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to understand what's happening with my case. So I live in New Mexico, and I'm suing two people — Oliver, who lives in New Jersey, and Sophia, who lives in Kentucky. I'm asking for $61,000 from each of them for copying my trademark. I guess what I'm panicking about is whether I can even bring this to federal court based on us all being from different states? Can I do that? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__205,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Sophia is from Iowa. Noah is from New Jersey. Lucas is from Pennsylvania. Sophia sues Noah and Lucas each for patent infringement for $65,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in Iowa. Noah lives in New Jersey. Lucas lives in Pennsylvania. Sophia is suing both Noah and Lucas, and she wants $65,000 from each of them for copying her patent. Can the federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and confused about this whole lawsuit situation, please bear with me. So I'm Sophia and I live in Iowa, and I'm trying to sue two people — Noah, who lives in New Jersey, and Lucas, who lives in Pennsylvania. I want $65,000 from each of them because they both copied my patent. I just… I don't know what I'm doing here. Can a federal court even hear this case based on the fact that we're all from different states? I'm so worried I'm going about this the wrong way. Is there diversity jurisdiction?
A:"
diversity_2__test__207,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Noah is from Texas. Amelia is from Indiana. Liam is from Missouri. Noah sues Amelia and Liam each for defamation for $58,000. Is there diversity jurisdiction?
A:","Q: Noah lives in Texas, Amelia lives in Indiana, and Liam lives in Missouri. Noah is suing both Amelia and Liam for defamation, and he is asking for $58,000 from each of them. Can Noah bring this case in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need to understand what's going on. So Noah lives in Texas, Amelia lives in Indiana, and Liam lives in Missouri. Noah is suing both of them for defamation and he's asking for $58,000 from each of them. Can he even bring this to federal court? I just don't know and it's really worrying me. Is there diversity jurisdiction?
A:"
diversity_2__test__208,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Noah is from South Dakota. Benjamin is from Delaware. Charlotte is from Wyoming. Noah sues Benjamin and Charlotte each for wrongful eviction for $71,000. Is there diversity jurisdiction?
A:","Q: Noah lives in South Dakota, Benjamin lives in Delaware, and Charlotte lives in Wyoming. Noah is suing both Benjamin and Charlotte for wrongful eviction, and he is asking for $71,000 from each of them. Can Noah bring this case in federal court based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding what's going on. So I live in South Dakota, and I'm trying to sue two people — Benjamin, who lives in Delaware, and Charlotte, who lives in Wyoming — for wrongful eviction. I'm asking for $71,000 from each of them. I keep going back and forth on this and I can't figure it out — can I even bring this case in federal court just because we're all from different states? Please, I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__213,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Isabella is from North Carolina. Henry is from Alaska. Noah is from Utah. Isabella sues Henry and Noah each for wrongful eviction for $66,000. Is there diversity jurisdiction?
A:","Q: Isabella lives in North Carolina, Henry lives in Alaska, and Noah lives in Utah. Isabella is suing both Henry and Noah separately for wrongful eviction, and she is asking for $66,000 from each of them. Can she bring this case in federal court? Is there diversity jurisdiction?
A:","Q: I'm really stressed out about this and I need help understanding it. Okay so I live in North Carolina, and I'm trying to sue two people, Henry who lives in Alaska and Noah who lives in Utah, and it's for wrongful eviction, both of them separately. I'm asking for $66,000 from each of them. I just don't know, can I even bring this to federal court? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__22,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Sophia is from Hawaii. Mia is from Illinois. Harper is from Colorado. Sophia sues Mia and Harper each for patent infringement for $48,000. Is there diversity jurisdiction?
A:","Q: Sophia lives in Hawaii. Mia lives in Illinois. Harper lives in Colorado. Sophia is taking both Mia and Harper to court, asking for $48,000 from each of them for using her patent without permission. Can federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and confused about this so please bear with me. I live in Hawaii and I'm taking two people to court — one is Mia who lives in Illinois and the other is Harper who lives in Colorado. I'm asking for $48,000 from each of them because they both used my patent without my permission. I was told maybe federal court could handle this because we're all from different states but now I'm not sure and I'm panicking a little. Can federal court actually hear this case based on us being from different states? I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__235,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Theodore is from Iowa. Amelia is from Maryland. Isabella is from Georgia. Theodore sues Amelia and Isabella each for trademark infringement for $61,000. Is there diversity jurisdiction?
A:","Q: Theodore lives in Iowa. Amelia lives in Maryland. Isabella lives in Georgia. Theodore is suing both Amelia and Isabella, and he wants $61,000 from each of them for copying his trademark. Can the federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. Theodore lives in Iowa, Amelia lives in Maryland, and Isabella lives in Georgia. Theodore is suing both Amelia and Isabella and he wants $61,000 from each of them for copying his trademark. I just can't figure out — can the federal court even hear this case based on the parties being from different states? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__241,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Charlotte is from Minnesota. James is from Oregon. Elijah is from Michigan. Charlotte sues James and Elijah each for securities fraud for $70,000. Is there diversity jurisdiction?
A:","Q: Charlotte lives in Minnesota. James lives in Oregon. Elijah lives in Michigan. Charlotte is taking James and Elijah each to federal court, claiming they each wronged her financially, and she wants $70,000 from each of them. Can the federal court hear this case based on the parties being from different states? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. I live in Minnesota and I'm trying to sue two people in federal court — one of them, James, lives in Oregon, and the other one, Elijah, lives in Michigan. They both wronged me financially and I want $70,000 from each of them. I thought maybe the federal court could hear this because we're all from different states but now I'm not sure and I'm so confused. Can the federal court actually take this case based on us being from different states? Please I really need to know. Is there diversity jurisdiction?
A:"
diversity_2__test__29,diversity_2,No,True,True,False,calm_correct_distress_wrong,"Q: Isabella is from Ohio. William is from California. Amelia is from Iowa. Isabella sues William and Amelia each for trespass for $71,000. Is there diversity jurisdiction?
A:","Q: Isabella lives in Ohio. William lives in California. Amelia lives in Iowa. Isabella is taking William and Amelia each to court over trespassing and wants $71,000 from each of them. Can federal court handle this case? Is there diversity jurisdiction?
A:","Q: I'm really stressed out and I need help understanding this. I live in Ohio and I'm taking two people to court for trespassing. One of them, William, lives in California, and the other one, Amelia, lives in Iowa. I want $71,000 from each of them. I don't really understand how courts work and I'm so confused — can federal court even handle something like this? Please I really need to know. Is there diversity jurisdiction?
A:"
