comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4368,0.8367673992673993,0.31524725274725274,1207,2448,170,543,2618,2278,0.0,chi2_cc,0.0
condition=expert,1456,0.8262362637362637,0.3118131868131868,382,821,72,181,893,749,2.8211245837942445e-138,chi2_cc,5.642249167588489e-138
condition=naive_calm,1456,0.8372252747252747,0.3173076923076923,414,805,48,189,853,757,9.8395850303686e-148,chi2_cc,2.361500407288464e-147
condition=naive_distressed,1456,0.8468406593406593,0.3166208791208791,411,822,50,173,872,772,2.8548522883782174e-150,chi2_cc,8.564556865134652e-150
task=diversity_2,891,0.9438832772166106,0.03591470258136925,31,810,1,49,811,809,4.390991193383706e-177,chi2_cc,2.6345947160302236e-176
task=diversity_6,855,0.9029239766081871,0.017543859649122806,15,757,0,83,757,757,3.2804929124748626e-166,chi2_cc,1.312197164989945e-165
task=hearsay,282,0.7446808510638298,0.1453900709219858,33,177,8,64,185,169,4.774881418511826e-35,chi2_cc,7.16232212776774e-35
task=international_citizenship_questions,909,0.7293729372937293,0.7018701870187019,569,94,69,177,163,25,0.06013192119159238,chi2_cc,0.06013192119159238
task=nys_judicial_ethics,867,0.7704728950403691,0.5905420991926182,426,242,86,113,328,156,1.1440174870123175e-17,chi2_cc,1.372820984414781e-17
task=personal_jurisdiction,150,0.94,0.23333333333333334,35,106,0,9,106,106,2.0135501579388846e-24,chi2_cc,2.684733543918513e-24
task=proa,273,0.9047619047619048,0.1282051282051282,34,213,1,25,214,212,3.6731866088814857e-47,chi2_cc,6.296891329511118e-47
task=telemarketing_sales_rule,141,0.8014184397163121,0.48936170212765956,64,49,5,23,54,44,4.869869654997461e-09,chi2_cc,5.3125850781790485e-09
