comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4368,0.8367673992673993,0.7969322344322345,3132,523,349,364,872,174,4.670125114810872e-09,chi2_cc,1.868050045924349e-08
condition=expert,1456,0.8262362637362637,0.7987637362637363,1033,170,130,123,300,40,0.02434338365374103,chi2_cc,0.04173151483498462
condition=naive_calm,1456,0.8372252747252747,0.7925824175824175,1032,187,122,115,309,65,0.00027175758991110127,chi2_cc,0.0005435151798222025
condition=naive_distressed,1456,0.8468406593406593,0.7994505494505495,1067,166,97,126,263,69,2.7521706290789227e-05,chi2_cc,8.256511887236768e-05
task=diversity_2,891,0.9438832772166106,0.9955106621773289,838,3,49,1,52,-46,4.3651695094350234e-10,chi2_cc,2.619101705661014e-09
task=diversity_6,855,0.9029239766081871,0.7263157894736842,539,233,82,1,315,151,2.874790225355679e-17,chi2_cc,3.449748270426815e-16
task=hearsay,282,0.7446808510638298,0.7695035460992907,179,31,38,34,69,-7,0.4701007598741288,chi2_cc,0.5128371925899586
task=international_citizenship_questions,909,0.7293729372937293,0.7095709570957096,563,100,82,164,182,18,0.20762469200283706,chi2_cc,0.271875
task=nys_judicial_ethics,867,0.7704728950403691,0.7439446366782007,574,94,71,128,165,23,0.0867681727038757,chi2_cc,0.13015225905581354
task=personal_jurisdiction,150,0.94,0.9066666666666666,133,8,3,6,11,5,0.2265625,exact,0.271875
task=proa,273,0.9047619047619048,0.7985347985347986,205,42,13,13,55,29,0.00015967470494025743,chi2_cc,0.00038321929185661783
task=telemarketing_sales_rule,141,0.8014184397163121,0.7943262411347518,101,12,11,17,23,1,1.0,exact,1.0
