comparison,n_paired,acc_a,acc_b,a,b,c,d,discordant,net_flips_a_minus_b,pvalue,method,pvalue_fdr_bh
overall,4368,0.8367673992673993,0.8280677655677655,3297,358,320,393,678,38,0.155323608982647,chi2_cc,0.207098145310196
condition=expert,1456,0.8262362637362637,0.8537087912087912,1120,83,123,130,206,-40,0.006582512312133198,chi2_cc,0.019747536936399593
condition=naive_calm,1456,0.8372252747252747,0.8159340659340659,1085,134,103,134,237,31,0.051330137700319,chi2_cc,0.102660275400638
condition=naive_distressed,1456,0.8468406593406593,0.8145604395604396,1092,141,94,129,235,47,0.0026935171781133577,chi2_cc,0.016161103068680148
task=diversity_2,891,0.9438832772166106,0.9629629629629629,813,28,45,5,73,-17,0.06111557753470225,chi2_cc,0.104769561488061
task=diversity_6,855,0.9029239766081871,0.9403508771929825,726,46,78,5,124,-32,0.005371254121580122,chi2_cc,0.019747536936399593
task=hearsay,282,0.7446808510638298,0.6773049645390071,165,45,26,46,71,19,0.032662546386305044,chi2_cc,0.07839011132713211
task=international_citizenship_questions,909,0.7293729372937293,0.7216721672167217,579,84,77,169,161,7,0.6363086093642671,chi2_cc,0.6941548465792006
task=nys_judicial_ethics,867,0.7704728950403691,0.7462514417531718,577,91,70,129,161,21,0.11497492369308013,chi2_cc,0.17246238553962018
task=personal_jurisdiction,150,0.94,0.9133333333333333,135,6,2,7,8,4,0.2890625,exact,0.346875
task=proa,273,0.9047619047619048,0.7802197802197802,201,46,12,14,58,34,1.4701607930829442e-05,chi2_cc,0.0001764192951699533
task=telemarketing_sales_rule,141,0.8014184397163121,0.7872340425531915,101,12,10,18,22,2,0.8318119049072266,exact,0.8318119049072266
