item_id,legalbench_task,domain,task_family,ground_truth,expert_prompt_preview
telemarketing_sales_rule__test__0,telemarketing_sales_rule,consumer_protection,,Yes,"Acme Industrial Products is a telemarketer subject to the Telemarketing Sales Rule. Acme Industrial Products told a customer that its vacuums cost $150 each, and the vacuums did cost $150 each. After ..."
telemarketing_sales_rule__test__1,telemarketing_sales_rule,consumer_protection,,Yes,Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods convinced a customer to buy a basketball before disclosing that the basketballs cost $10 each. Is thi...
telemarketing_sales_rule__test__2,telemarketing_sales_rule,consumer_protection,,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme Toys told a customer that it would sell them a handful of frisbees at a very reasonable price, and that shipping would be $5. ..."
telemarketing_sales_rule__test__3,telemarketing_sales_rule,consumer_protection,,Yes,"Acme Sporting Goods is a telemarketer subject to the Telemarketing Sales Rule. Acme Sporting Goods told a customer that it would sell them a decent amount of basketballs for $55, and that shipping wou..."
telemarketing_sales_rule__test__4,telemarketing_sales_rule,consumer_protection,,Yes,"Acme Toys is a telemarketer subject to the Telemarketing Sales Rule. Acme told a customer that it would sell them 10 frisbees for $45, and that shipping would be free. When the customer asked what col..."
personal_jurisdiction__test__8,personal_jurisdiction,civil_procedure_personal_jurisdiction,,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. She buys a bike from him and uses it to bike back to Texas. Right after she crosses the border, t..."
personal_jurisdiction__test__9,personal_jurisdiction,civil_procedure_personal_jurisdiction,,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David is actually a citizen of Georgia, but spends a lot of time in Louisiana to run his shop. An..."
personal_jurisdiction__test__10,personal_jurisdiction,civil_procedure_personal_jurisdiction,,Yes,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David is actually a citizen of Georgia, but spends a lot of time in Louisiana to run his shop. An..."
personal_jurisdiction__test__11,personal_jurisdiction,civil_procedure_personal_jurisdiction,,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. Ana and David hit it off because both of them like to vacation in Colorado. Ana buys a bike from ..."
personal_jurisdiction__test__12,personal_jurisdiction,civil_procedure_personal_jurisdiction,,No,"Ana is a lawyer who resides in Texas. While visiting Louisiana, she meets David, who runs a bike shop. David tells Ana he is planning on selling his bike shop and moving to Oklahoma in 3 years. Ana bu..."
hearsay__test__0,hearsay,evidence,,No,"On the issue of whether James is an smart individual, the fact that James came first in his class in law school."
hearsay__test__18,hearsay,evidence,,No,"On the issue of whether the parties had actually agreed to the contract, the fact that one of the parties had mistaken the identity of the other party."
hearsay__test__19,hearsay,evidence,,No,"On the issue of which car was responsible for a hit-and-run, the witness's statement in court that she believed it was the blue sedan."
hearsay__test__21,hearsay,evidence,,No,"On the issue of which of the defendants was responsible for driving the get-away car, the fact that the witness on the stand turned and pointed to the man in the blue suit."
hearsay__test__24,hearsay,evidence,,No,"On the issue of whether Carl had knowledge of Amy's intentions, Carl told the questioning attorney on redirect examination that he knew Amy's intentions."
diversity_2__test__10,diversity_2,civil_procedure_diversity,,No,"Elijah is from North Carolina. Amelia is from Minnesota. Ava is from West Virginia. Elijah sues Amelia and Ava each for breach of contract for $32,000."
diversity_2__test__11,diversity_2,civil_procedure_diversity,,No,"Mia is from New Jersey. Lucas is from Kansas. William is from New Jersey. Mia sues Lucas and William each for legal malpractice for $40,000."
diversity_2__test__20,diversity_2,civil_procedure_diversity,,No,"Olivia is from New Jersey. Sophia is from Vermont. Oliver is from Wisconsin. Olivia sues Sophia and Oliver each for breach of contract for $20,000."
diversity_2__test__23,diversity_2,civil_procedure_diversity,,No,"Liam is from Massachusetts. Amelia is from Ohio. Benjamin is from Delaware. Liam sues Amelia and Benjamin each for wrongful eviction for $19,000."
