legalbench_task,expert,naive_calm,naive_distressed
diversity_2,1.0,1.0,0.0
diversity_3,0.6,0.8,0.0
diversity_4,1.0,0.4,0.2
diversity_5,0.0,0.0,0.0
diversity_6,0.0,0.0,0.4
hearsay,0.0,0.0,0.0
international_citizenship_questions,0.0,0.0,0.0
learned_hands_benefits,1.0,1.0,0.8
learned_hands_business,0.4,0.8,0.2
learned_hands_consumer,1.0,1.0,1.0
learned_hands_courts,1.0,1.0,1.0
learned_hands_crime,0.6,0.6,0.6
learned_hands_divorce,1.0,1.0,0.8
learned_hands_domestic_violence,0.6,0.6,0.6
learned_hands_education,0.8,1.0,1.0
learned_hands_employment,1.0,1.0,1.0
learned_hands_estates,0.8,0.8,0.8
learned_hands_family,1.0,1.0,1.0
learned_hands_health,1.0,1.0,1.0
learned_hands_housing,1.0,1.0,1.0
learned_hands_immigration,1.0,1.0,1.0
learned_hands_torts,0.8,0.8,0.8
learned_hands_traffic,1.0,1.0,1.0
legal_reasoning_causality,1.0,0.6,0.8
nys_judicial_ethics,1.0,1.0,0.6
personal_jurisdiction,0.0,0.0,0.0
successor_liability,0.0,0.0,0.0
telemarketing_sales_rule,0.8,0.2,0.0
unfair_tos,0.6,0.6,0.4
